Authors,Year,Title,Journal/Book,Volume,Pages,Notes,DOI
"Jordan, MI; Ghahramani, Z; Jaakkola, TS; Saul, LK",1998,An introduction to variational methods for graphical models,,,105-162,In Learning in Graphical Models. Dordrecht: Kluwer,10.1007/978-94-011-5014-9_5
"Kalaska, JF; Caminiti, R; Georgopoulos, AP",1983,Cortical mechanisms related to the direction of two-dimensional arm movements,Experimental Brain Research,51,247-260,,10.1007/bf00237200
"Kandel, ER; Schwartz, JH",1985,Principles of Neural Science,,,,2nd ed. New York: McGraw-Hill,10.1016/0307-4412(85)90046-9
"Kandel, ER; Schwartz, JH; Jessel, TM",1991,Principles of Neural Science,,,,3rd ed. New York: McGraw-Hill,10.1093/clinids/13.supplement_2.s170
"Kandel, ER; Schwartz, JH; Jessel, TM",2000,Principles of Neural Science,,,,4th ed. New York: McGraw-Hill,10.1016/s0092-8674(00)00251-8
"Karasaridis, A; Simoncelli, EP",1996,A filter design technique for steerable pyramid image transforms,,,2387-2390,In Proceedings of ICASSP,10.1109/83.536889
"Kawato, M; Hayakama, H; Inui, T",1993,A forward-inverse optics model of reciprocal connections between visual cortical areas,Network: Computation in Neural Systems,4,415-422,,10.1088/0954-898x_4_4_001
"Kearns, MJ; Vazirani, UV",1994,An Introduction to Computational Learning Theory,,,,"Cambridge, MA: MIT Press",10.7551/mitpress/3897.001.0001
"Kempter, R; Gerstner, W; van Hemmen, JL",1999,Hebbian learning and spiking neurons,Physical Review,E59,4498-4514,,10.1103/physreve.59.4498
"Koch, C",1998,Biophysics of Computation: Information Processing in Single Neurons,,,,New York: Oxford University Press,10.1093/oso/9780195104912.001.0001
"Koch, C; Segev, I",1998,Methods in Neuronal Modeling: From Synapses to Networks,,,,"Cambridge, MA: MIT Press",10.1162/089976698300017494
"Konorski, J",1967,Integrative Activity of the Brain,,,,Chicago: University of Chicago Press,
"Lapicque, L",1907,Recherches quantitatives sur l'excitation electrique des nerfs traitee comme une polarization,Journal de Physiologie et Pathologie General,9,620-635,,10.3406/bmsap.1907.7004
"Laughlin, S",1981,A simple coding procedure enhances a neuron's information capacity,Zeitschrift fur Naturforschung,36,910-912,,10.1515/znc-1981-9-1040
"Lauritzen, SL",1996,Graphical Models,,,,Oxford: Clarendon Press,10.1093/oso/9780198522195.001.0001
"Lee, C; Rohrer, WH; Sparks, DL",1988,Population coding of saccadic eye movements by neurons in the superior colliculus,Nature,332,357-360,,10.1038/332357a0
"Leen, TK",1991,Dynamics of learning in recurrent feature-discovery networks,,,70-76,In Advances in Neural Information Processing Systems 3,10.1088/0954-898x/2/1/005
"LeMasson, G; Marder, E; Abbott, LF",1993,Activity-dependent regulation of conductances in model neurons,Science,259,1915-1917,,10.1126/science.8456317
"Lewis, JE; Kristan, WB",1998,A neuronal network for computing population vectors in the leech,Nature,391,76-79,,10.1038/34172
"Li, Z",1995,Modeling the sensory computations of the olfactory bulb,,,221-251,In Models of Neural Networks Volume 2. New York: Springer-Verlag,10.1007/978-1-4757-6130-6_4
"Li, Z",1996,A theory of the visual motion coding in the primary visual cortex,Neural Computation,8,705-730,,10.1162/neco.1996.8.4.705
"Li, Z",1998,A neural model of contour integration in the primary visual cortex,Neural Computation,10,903-940,,10.1162/089976698300017557
"Li, Z",1999,Visual segmentation by contextual influences via intra-cortical interactions in the primary visual cortex,Network: Computation in Neural Systems,10,187-212,,10.1088/0954-898x_10_2_305
"Li, Z; Atick, JJ",1994,Efficient stereo coding in the multiscale representation,Network: Computation in Neural Systems,5,157-174,,10.1088/0954-898x/5/2/003
"Li, Z; Atick, JJ",1994,Toward a theory of the striate cortex,Neural Computation,6,127-146,,10.1162/neco.1994.6.1.127
"Li, Z; Dayan, P",1999,Computational differences between asymmetrical and symmetrical networks,Network: Computation in Neural Systems,10,59-78,,10.1088/0954-898x_10_1_004
"Li, Z; Hopfield, JJ",1989,Modeling the olfactory bulb and its neural oscillatory processings,Biological Cybernetics,61,379-392,,10.1007/bf00200803
"Lindgren, BW",1993,Statistical Theory,,,,4th ed. New York: Chapman & Hall,10.2307/3312572
"Linsker, R",1986,From basic network principles to neural architecture,Proceedings of the National Academy of Sciences USA,83,7508-7512; 8390-8394; 8779-8783,,10.1073/pnas.83.21.8390
"Linsker, R",1988,Self-organization in a perceptual network,Computer,21,105-117,,10.1109/2.36
"Lisman, JE",1997,Bursts as a unit of neural information: making unreliable synapses reliable,Trends in Neuroscience,20,38-43,,10.1016/s0166-2236(96)10070-9
"Liu, Z; Golowasch, J; Marder, E; Abbott, LF",1998,A model neuron with activity-dependent conductances regulated by multiple calcium sensors,Journal of Neuroscience,18,2309-2320,,10.1523/jneurosci.18-07-02309.1998
"MacKay, DJC",1996,Maximum Likelihood and Covariant Algorithms for Independent Components Analysis,,,,Unpublished manuscript,10.1108/02651339610115773
"MacKay, DJC; Miller, KD",1990,Analysis of Linsker's application of Hebbian rules to linear networks,Network: Computation in Neural Systems,1,257-299,,10.1088/0954-898x/1/3/001
"MacKay, DM",1956,The epistemological problem for automata,,,235-251,"In CE Shannon & J McCarthy, eds., Automata Studies. Princeton, NJ: Princeton University Press",10.1515/9781400882618-012
"Mackintosh, NJ",1983,Conditioning and Associative Learning,,,,Oxford: Oxford University Press,
"Magleby, KL",1987,Short-term changes in synaptic efficacy,,,21-56,In Synaptic Function. New York: Wiley,10.1071/sr9870369
"Mangel, M; Clark, CW",1988,Dynamic Modeling in Behavioral Ecology,,,,"Princeton, NJ: Princeton University Press",10.1038/332029a0
"Mallat, SG",1998,A Wavelet Tour of Signal Processing,,,,"San Diego, CA: Academic Press",10.4171/dms/1-1/9
"Marder, E; Calabrese, RL",1996,Principles of rhythmic motor pattern generation,Physiological Review,76,687-717,,10.1152/physrev.1996.76.3.687
"Markram, H; Lubke, J; Frotscher, M; Sakmann, B",1997,Regulation of synaptic efficacy by coincidence of postsynaptic APs and EPSPs,Science,275,213-215,,10.1126/science.275.5297.213
"Markram, H; Tsodyks, M",1996,Redistribution of synaptic efficacy between neocortical pyramidal neurons,Nature,382,807-810,,10.1038/382807a0
"Markram, H; Wang, Y; Tsodyks, MV",1998,Differential signalling via the same axon of neocortical pyramidal neurons,Proceedings of the National Academy of Sciences USA,95,5323-5328,,10.1073/pnas.95.9.5323
"Marmarelis, PZ; Marmarelis, VZ",1978,Analysis of Physiological Systems: The White-Noise Approach,,,,New York: Plenum Press,10.1007/978-1-4613-3970-0
"Marom, S; Abbott, LF",1994,Modeling state-dependent inactivation of membrane currents,Biophysical Journal,67,515-520,,10.1016/s0006-3495(94)80518-1
"Marr, D",1970,A theory for cerebral neocortex,Proceedings of the Royal Society of London,B176,161-234,,10.1098/rspb.1970.0040
"Mascagni, M; Sherman, A",1998,Numerical methods for neuronal modeling,,,569-606,"In Methods in Neuronal Modeling. Cambridge, MA: MIT Press",10.11130/jei.1998.13.3.426
"Mathews, J; Walker, RL",1970,Mathematical Methods of Physics,,,,New York: Benjamin,10.1080/0020739700010309
"Mauk, MD; Donegan, NH",1997,A model of Pavlovian conditioning based on the synaptic organization of the cerebellum,Learning and Memory,4,130-158,,10.1101/lm.4.1.130
"McCormick, DA",1990,Membrane properties and neurotransmitter actions,,,,"In GM Shepherd, ed., The Synaptic Organization of the Brain. New York: Oxford University Press",10.1152/ajpregu.1990.259.4.r857
"Mehta, MR; Barnes, CA; McNaughton, BL",1997,"Experience-dependent, asymmetric expansion of hippocampal place fields",Proceedings of the National Academy of Sciences USA,94,8918-8921,,10.1073/pnas.94.16.8918
"Mehta, MR; Quirk, MC; Wilson, M",2000,Experience dependent asymmetric shape of hippocampal receptive fields,Neuron,25,707-715,,10.1016/s0896-6273(00)81072-7
"Miller, KD",1994,A model for the development of simple cell receptive fields and the ordered arrangement of orientation columns,Journal of Neuroscience,14,409-441,,10.1523/jneurosci.14-01-00409.1994
"Miller, KD",1996,Receptive fields and maps in the visual cortex: Models of ocular dominance and orientation columns,,,55-78,In Models of Neural Networks Volume 3. New York: Springer-Verlag,10.1007/978-1-4612-0723-8_2
"Miller, KD",1996,Synaptic economics: competition and cooperation in synaptic plasticity,Neuron,17,371-374,,10.1016/s0896-6273(00)80169-5
"Miller, KD; Keller, JB; Stryker, MP",1989,Ocular dominance column development: Analysis and simulation,Science,245,605-615,,10.1126/science.2762813
"Miller, KD; MacKay, DJC",1994,The role of constraints in Hebbian learning,Neural Computation,6,100-126,,10.1162/neco.1994.6.1.100
"Minai, AA; Levy, WB",1993,Sequence learning in a single trial,,,505-508,In INNS World Congress of Neural Networks II,10.1093/wber/7.2.247
"Minsky, M; Papert, S",1969,Perceptrons,,,,"Cambridge, MA: MIT Press",
"Mirenowicz, J; Schultz, W",1994,Importance of unpredictability for reward responses in primate dopamine neurons,Journal of Neurophysiology,72,1024-1027,,10.1152/jn.1994.72.2.1024
"Montague, PR; Dayan, P; Person, C; Sejnowski, TJ",1995,Bee foraging in uncertain environments using predictive Hebbian learning,Nature,377,725-728,,10.1038/377725a0
"Montague, PR; Dayan, P; Sejnowski, TJ",1996,A framework for mesencephalic dopamine systems based on predictive Hebbian learning,Journal of Neuroscience,16,1936-1947,,10.1523/jneurosci.16-05-01936.1996
"Movshon, JA; Thompson, ID; Tolhurst, DJ",1978,Spatial summation in the receptive fields of simple cells in the cat's striate cortex,Journal of Neurophysiology,283,53-77,,10.1113/jphysiol.1978.sp012488
"Movshon, JA; Thompson, ID; Tolhurst, DJ",1978,Spatial and temporal contrast sensitivity of neurones in areas 17 and 18 of the cat's visual cortex,Journal of Neurophysiology,283,101-120,,10.1113/jphysiol.1978.sp012490
"Mumford, D",1994,Neuronal architectures for pattern-theoretic problems,,,125-152,"In C Koch & J Davis, eds., Large-Scale Theories of the Cortex. Cambridge, MA: MIT Press",10.1007/978-3-0348-9328-2_6
"Murray, JD",1993,Mathematical Biology,,,,New York: Springer-Verlag,10.1007/978-3-662-08542-4
"Narendra, KS; Thatachar, MAL",1989,Learning Automata: An Introduction,,,,"Englewood Cliffs, NJ: Prentice-Hall",10.1007/978-3-662-22419-9_1
"Neal, RM",1993,Probabilistic Inference Using Markov Chain Monte Carlo Methods,,,,"University of Toronto, technical report CRG-TR-93-1",10.1080/07468342.1993.11973541
"Neal, RM; Hinton, GE",1998,"A view of the EM algorithm that justifies incremental, sparse, and other variants",,,355-368,In Learning in Graphical Models. Dordrecht: Kluwer,10.1007/978-94-011-5014-9_12
"Neisser, U",1967,Cognitive Psychology,,,,New York: Appleton-Century-Crofts,
"Newsome, WT; Britten, KH; Movshon, JA",1989,Neural correlates of a perceptual decision,Nature,341,52-54,,10.1038/341052a0
"Nicholls, JG; Martin, R; Wallace, BG",1992,From Neuron to Brain,,,,"Sunderland, MA: Sinauer Associates",10.4052/tigg.4.32
"Nowlan, SJ",1991,Soft Competitive Adaptation: Neural Network Learning Algorithms Based on Fitting Statistical Mixtures,,,,"Ph.D. dissertation, Carnegie-Mellon University",10.1162/neco.1991.3.1.79
"Obermayer, K; Blasdel, GG",1993,Geometry of orientation and ocular dominance columns in monkey striate cortex,Journal of Neuroscience,13,4114-4129,,10.1523/jneurosci.13-10-04114.1993
"Obermayer, K; Blasdel, GG; Schulten, K",1992,Statistical-mechanical analysis of self-organization and pattern formation during the development of visual maps,Physical Review A,45,7568-7589,,10.1103/physreva.45.7568
"Oja, E",1982,A simplified neuron model as a principal component analyzer,Journal of Mathematical Biology,16,267-273,,10.1007/bf00275687
"O'Keefe, J; Recce, ML",1993,Phase relationship between hippocampal place units and the EEG theta rhythm,Hippocampus,3,317-330,,10.1002/hipo.450030307
"O'Keefe, LP; Bair, W; Movshon, JA",1997,Response variability of MT neurons in macaque monkey,Society for Neuroscience Abstracts,23,1125,,10.1068/v970037
"Olshausen, B",1996,"Learning Linear, Sparse, Factorial Codes",,,,"MIT AI Lab, AI-memo 1580",10.1117/12.238708
"Olshausen, BA; Field, DJ",1996,Emergence of simple-cell receptive field properties by learning a sparse code for natural images,Nature,381,607-609,,10.1038/381607a0
"Olshausen, BA; Field, DJ",1997,Sparse coding with an overcomplete basis set: A strategy employed by V1?,Vision Research,37,3311-3325,,10.1016/s0042-6989(97)00169-7
"Oppenheim, AV; Willsky, AS; Nawab, H",1997,Signals and Systems,,,,"2nd ed. Upper Saddle River, NJ: Prentice-Hall",10.1016/s0378-4371(97)00380-4
"Oram, MW; Foldiak, P; Perrett, DI; Sengpiel, F",1998,The ideal homunculus: Decoding neural population signals,Trends in Neuroscience,21,259-265,,10.1016/s0166-2236(97)01216-2
"Orban, GA",1984,Neuronal Operations in the Visual Cortex,,,,Berlin: Springer-Verlag,10.1007/978-3-642-46469-0
"O'Reilly, RC",1996,Biologically plausible error-driven learning using local activation differences: The generalised recirculation algorithm,Neural Computation,8,895-938,,10.1016/0261-5177(95)00098-4
"Paradiso, MA",1988,A theory for the use of visual orientation information which exploits the columnar structure of striate cortex,Biological Cybernetics,58,35-49,,10.1007/bf00363954
"Parker, AJ; Newsome, WT",1998,Sense and the single neuron: Probing the physiology of perception,Annual Review of Neuroscience,21,227-277,,10.1146/annurev.neuro.21.1.227
"Patlak, J",1991,Molecular kinetics of voltage-dependent Na+ channels,Physiological Review,71,1047-1080,,10.1152/physrev.1991.71.4.1047
"Pearl, J",1988,Probabilistic Reasoning in Intelligent Systems: Networks of Plausible Inference,,,,"San Mateo, CA: Morgan Kaufmann",10.1016/b978-0-08-051489-5.50008-4
"Pearlmutter, BA; Parra, LC",1996,A context-sensitive generalization of ICA,,,151-157,In Proceedings of ICONIP 1996,
"Pece, AEC",1992,Redundancy reduction of a Gabor representation,,,865-868,In Artificial Neural Networks 2. Amsterdam: Elsevier,10.1016/b978-0-444-89488-5.50008-7
"Percival, DB; Waldron, AT",1993,Spectral Analysis for Physical Applications,,,,Cambridge: Cambridge University Press,10.1017/cbo9780511622762
"Piepenbrock, C; Obermayer, K",1999,The role of lateral cortical competition in ocular dominance development,,,,In Advances in Neural Information Processing Systems 11,10.1016/s0925-2312(99)00037-5
"Plumbley, MD",1991,On Information Theory and Unsupervised Neural Networks,,,,"Cambridge University Engineering Department, technical report CUED/F-INFENG/TR.78",
"Poggio, GF; Talbot, WH",1981,Mechanisms of static and dynamic stereopsis in foveal cortex of the rhesus monkey,Journal of Physiology,315,469-492,,10.1113/jphysiol.1981.sp013759
"Poggio, T",1990,A theory of how the brain might work,Cold Spring Harbor Symposium on Quantitative Biology,55,899-910,,10.1101/sqb.1990.055.01.084
"Pollen, D; Ronner, S",1982,Spatial computations performed by simple and complex cells in the visual cortex of the cat,Vision Research,22,101-118,,10.1016/0042-6989(82)90172-9
"Poor, HV",1994,An Introduction to Signal Detection and Estimation,,,,2nd ed. New York: Springer-Verlag,10.1007/978-1-4757-2341-0
"Pouget, A; Sejnowski, TJ",1995,Spatial representations in the parietal cortex may use basis functions,,,157-164,In Advances in Neural Information Processing Systems 7,10.1073/pnas.92.21.9515
"Pouget, A; Sejnowski, TJ",1997,Spatial transformations in the parietal cortex using basis functions,Journal of Cognitive Neuroscience,9,222-237,,10.1162/jocn.1997.9.2.222
"Pouget, A; Zhang, KC; Deneve, S; Latham, PE",1998,Statistically efficient estimation using population coding,Neural Computation,10,373-401,,10.1162/089976698300017809
"Press, WH; Teukolsky, SA; Vetterling, WT; Flannery, BP",1992,Numerical Recipes in C,,,,Cambridge: Cambridge University Press,10.1098/rsta.1992.0073
"Price, DJ; Willshaw, DJ",2000,Mechanisms of Cortical Development,,,,Oxford: Oxford University Press,10.1093/acprof:oso/9780192624277.001.0001
"Purves, D; Augustine, GJ; Fitzpatrick, D; Katz, LC; LaMantia, A-S; McNamara, JO; Williams, SM",2000,Neuroscience,,,,Sunderland MA: Sinauer Associates,
"Rall, W",1959,Branching dendritic trees and motoneuron membrane resistivity,Experimental Neurology,2,503-532,,10.1016/0014-4886(59)90046-9
"Rall, W",1977,Core conductor theory and cable properties of neurons,,,39-97,"In Handbook of Physiology vol. 1. Bethesda, MD: American Physiology Society",10.1002/j.2040-4603.1977.tb00811.x
"Rao, RPN; Ballard, DH",1997,Dynamic model of visual recognition predicts neural response properties in the visual cortex,Neural Computation,9,721-763,,10.1162/neco.1997.9.4.721
"Raymond, JL; Lisberger, SG; Mauk, MD",1996,The cerebellum: A neuronal learning machine?,Science,272,1126-1131,,10.1126/science.272.5265.1126
"Real, LA",1991,Animal choice behavior and the evolution of cognitive architecture,Science,253,980-986,,10.1126/science.1887231
"Reichardt, W",1961,Autocorrelation: A principle for the evaluation of sensory information by the central nervous system,,,,"In WA Rosenblith, ed., Sensory Communication. New York: Wiley",10.2307/3007424
"Rescorla, RA; Wagner, AR",1972,A theory of Pavlovian conditioning,,,64-69,In Classical Conditioning II. New York: Appleton-Century-Crofts,10.1016/s0079-7421(08)60383-7
"Rieke, F; Bodnar, DA; Bialek, W",1995,Naturalistic stimuli increase the rate and efficiency of information transmission by primary auditory afferents,Proceedings of the Royal Society of London,B262,259-265,,10.1007/bf02451830
"Rieke, FM; Warland, D; de Ruyter van Steveninck, R; Bialek, W",1997,Spikes: Exploring the Neural Code,,,,"Cambridge, MA: MIT Press",10.1126/science.275.5307.1805
"Rinzel, J; Ermentrout, B",1998,Analysis of neural excitability and oscillations,,,251-292,"In Methods in Neuronal Modeling. Cambridge, MA: MIT Press",10.1088/0034-4885/61/4/002
"Rissanen, J",1989,Stochastic Complexity in Statistical Inquiry,,,,Singapore: World Scientific Press,
"Robinson, DA",1989,Integrating with neurons,Annual Review of Neuroscience,12,33-45,,10.1146/annurev.neuro.12.1.33
"Rodieck, R",1965,Quantitative analysis of cat retinal ganglion cell responses to visual stimuli,Vision Research,5,583-601,,10.1016/0042-6989(65)90033-7
"Rolls, ET; Treves, A",1998,Neural Networks and Brain Function,,,,New York: Oxford University Press,10.1093/oso/9780198524649.003.0008
"Rosenblatt, F",1958,The perceptron: A probabilistic model for information storage and organization in the brain,Psychological Review,65,386-408,,10.1037/h0042519
"Roth, Z; Baram, Y",1996,Multidimensional density shaping by sigmoids,IEEE Transactions on Neural Networks,7,1291-1298,,10.1109/72.536322
"Rovamo, J; Virsu, V",1984,Isotropy of cortical magnification and topography of striate cortex,Vision Research,24,283-286,,10.1016/0042-6989(84)90133-0
"Roweis, S",1998,EM Algorithms for PCA and SPCA,,,626-632,In Advances in Neural Information Processing Systems 10,
"Roweis, S; Ghahramani, Z",1999,A unifying review of linear Gaussian models,Neural Computation,11,305-345,,10.1162/089976699300016674
"Rubin, DB; Thayer, DT",1982,EM algorithms for ML factor analysis,Psychometrika,47,69-76,,10.1007/bf02293851
"de Ruyter van Steveninck, R; Bialek, W",1988,Real-time performance of a movement-sensitive neuron in the blowfly visual system,Proceedings of the Royal Society of London,B234,379-414,,10.1098/rspb.1988.0055
"Sakmann, B; Neher, E",1983,Single Channel Recording,,,,New York: Plenum,10.1113/jphysiol.1983.sp014741
"Salinas, E; Abbott, LF",1994,Vector reconstruction from firing rates,Journal of Computational Neuroscience,1,89-107,,10.1007/bf00962720
"Salinas, E; Abbott, LF",1995,Transfer of coded information from sensory to motor networks,Journal of Neuroscience,15,6461-6474,,10.1523/jneurosci.15-10-06461.1995
"Salinas, E; Abbott, LF",1996,A model of multiplicative neural responses in parietal cortex,Proceedings of the National Academy of Sciences USA,93,11956-11961,,10.1073/pnas.93.21.11956
"Salinas, E; Abbott, LF",2000,Do simple cells in primary visual cortex form a tight frame?,Neural Computation,12,313-336,,10.1162/089976600300015817
"Salzman, CA; Shadlen, MN; Newsome, WT",1992,Microstimulation in visual area MT: Effects on directional discrimination performance,Journal of Neuroscience,12,2331-2356,,10.1523/jneurosci.12-06-02331.1992
"Samsonovich, A; McNaughton, BL",1997,Path integration and cognitive mapping in a continuous attractor neural network model,Journal of Neuroscience,17,5900-5920,,10.1523/jneurosci.17-15-05900.1997
"Sanger, TD",1994,Theoretical considerations for the analysis of population coding in motor cortex,Neural Computation,6,29-37,,10.1162/neco.1994.6.1.29
"Sanger, TD",1996,Probability density estimation for the interpretation of neural population codes,Journal of Neurophysiology,76,2790-2793,,10.1152/jn.1996.76.4.2790
"Saul, AB; Humphrey, AL",1990,Spatial and temporal properties of lagged and nonlagged cells in the cat lateral geniculate nucleus,Journal of Neurophysiology,68,1190-1208,,10.1152/jn.1990.64.1.206
"Saul, LK; Jordan, ML",2000,Attractor dynamics in feedforward neural networks,Neural Computation,12,1313-1335,,10.1162/089976600300015385
"Schultz, W",1998,Predictive reward signal of dopamine neurons,Journal of Neurophysiology,80,1-27,,10.1152/jn.1998.80.1.1
"Schultz, W; Romo, R; Ljungberg, T; Mirenowicz, J; Hollerman, JR; Dickinson, A",1995,Reward-related signals carried by dopamine neurons,,,233-248,"In Models of Information Processing in the Basal Ganglia. Cambridge, MA: MIT Press",10.1007/s008940050005
"Schwartz, EL",1977,Spatial mapping in the primate sensory projection,Biological Cybernetics,25,181-194,,10.1007/bf01885636
"Sclar, G; Freeman, R",1982,Orientation selectivity in cat's striate cortex is invariant with stimulus contrast,Experimental Brain Research,46,457-461,,10.1007/bf00238641
"Scott, DW",1992,"Multivariate Density Estimation: Theory, Practice, and Visualization",,,,New York: Wiley,10.1002/9780470316849
"Sejnowski, TJ",1977,Storing covariance with nonlinearly interacting neurons,Journal of Mathematical Biology,4,303-321,,10.1007/bf00275079
"Sejnowski, TJ",1999,The book of Hebb,Neuron,24,773-776,,10.1016/s0896-6273(00)81025-9
"Seung, HS",1996,How the brain keeps the eyes still,Proceedings of the National Academy of Sciences USA,93,13339-13344,,10.1073/pnas.93.23.13339
"Seung, HS; Lee, DD; Reis, BY; Tank, DW",2000,Stability of the memory for eye position in a recurrent network of conductance-based model neurons,Neuron,26,259-271,,10.1016/s0896-6273(00)81155-1
"Seung, HS; Sompolinsky, H",1993,Simple models for reading neuronal population codes,Proceedings of the National Academy of Sciences USA,90,10749-10753,,10.1073/pnas.90.22.10749
"Shadlen, MN; Britten, KH; Newsome, WT; Movshon, JA",1996,A computational analysis of the relationship between neuronal and behavioral responses to visual motion,Journal of Neuroscience,16,1486-1510,,10.1523/jneurosci.16-04-01486.1996
"Shadlen, MN; Newsome, WT",1998,"The variable discharge of cortical neurons: Implications for connectivity, computation, and information coding",Journal of Neuroscience,18,3870-3896,,10.1523/jneurosci.18-10-03870.1998
"Shanks, DR",1995,The Psychology of Associative Learning,,,,Cambridge: Cambridge University Press,10.1017/cbo9780511623288
"Shannon, CE; Weaver, W",1949,The Mathematical Theory of Communications,,,,"Urbana, IL: University of Illinois Press",10.1002/j.1538-7305.1949.tb00928.x
"Shepherd, GM",1997,Neurobiology,,,,Oxford: Oxford University Press,
"Siebert, WMcC",1986,"Circuits, Signals, and Systems",,,,"Cambridge, MA: MIT Press; New York: McGraw-Hill",
"Simoncelli, EP",1997,"Statistical models for images: Compression, restoration and synthesis",,,673-678,In Proceedings of the 31st Asilomar Conference,10.1520/jte11496j
"Simoncelli, EP; Adelson, EH",1990,Subband image coding,,,143-192,"In JW Woods, ed., Subband Transforms. Norwell, MA: Kluwer",
"Simoncelli, EP; Freeman, WT",1995,The steerable pyramid: A flexible architecture for derivative computation,,,444-447,In Proceedings of ICIP,10.1068/p240603
"Simoncelli, EP; Freeman, WT; Adelson, EH; Heeger, DJ",1992,Shiftable multiscale transforms,IEEE Transactions on Information Theory,38,587-607,,10.1109/18.119725
"Simoncelli, EP; Schwartz, O",1999,Modeling non-specific suppression in V1 neurons with a statistically-derived normalization model,,,153-159,In Advances in Neural Information Processing Systems 11,10.1117/12.366779
"Snippe, HP",1996,Parameter extraction from population codes: A critical assessment,Neural Computation,8,511-529,,10.1162/neco.1996.8.3.511
"Snippe, HP; Koenderink, JJ",1992,Discrimination thresholds for channel-coded systems,Biological Cybernetics,66,543-551,,10.1007/bf00204120
"Snippe, HP; Koenderink, JJ",1992,Information in channel-coded systems: Correlated receivers,Biological Cybernetics,67,183-190,,10.1007/bf00201025
"Softky, WR; Koch, C",1992,Cortical cells should spike regularly but do not,Neural Computation,4,643-646,,10.1162/neco.1992.4.5.643
"Solomon, RL; Corbit, JD",1974,An opponent-process theory of motivation. I. Temporal dynamics of affect,Psychological Review,81,119-145,,10.1037/h0036128
"Somers, DC; Nelson, SB; Sur, M",1995,An emergent model of orientation selectivity in cat visual cortical simple cells,Journal of Neuroscience,15,5448-5465,,10.1523/jneurosci.15-08-05448.1995
"Sompolinsky, H; Shapley, R",1997,New perspectives on the mechanisms for orientation selectivity,Current Opinion in Neurobiology,7,514-522,,10.1016/s0959-4388(97)80031-1
"Song, S; Miller, KD; Abbott, LF",2000,Competitive Hebbian learning through spike-timing dependent synaptic plasticity,Nature Neuroscience,3,919-926,,10.1038/78829
"Stemmler, M; Koch, C",1999,How voltage-dependent conductances can adapt to maximize the information encoded by neuronal firing rate,Nature Neuroscience,2,521-527,,10.1038/9173
"Stevens, CM; Zador, AM",1998,Novel integrate-and-fire-like model of repetitive firing in cortical neurons,,,,In Proceedings of the 5th Joint Symposium on Neural Computation,10.1038/659
"Strang, G",1976,Linear Algebra and Its Applications,,,,New York: Academic Press,10.2307/2005411
"Strong, SP; Koberle, R; de Ruyter van Steveninck, RR; Bialek, W",1998,Entropy and information in neural spike trains,Physical Review Letters,80,197-200,,10.1103/physrevlett.80.197
"Stuart, GJ; Sakmann, B",1994,Active propagation of somatic action potentials into neocortical pyramidal cell dendrites,Nature,367,69-72,,10.1038/367069a0
"Stuart, GJ; Spruston, N",1998,Determinants of voltage attenuation in neocortical pyramidal neuron dendrites,Journal of Neuroscience,18,3501-3510,,10.1523/jneurosci.18-10-03501.1998
"Sutton, RS",1988,Learning to predict by the methods of temporal difference,Machine Learning,3,9-44,,10.1007/bf00115009
"Sutton, RS; Barto, AG",1990,Time-derivative models of Pavlovian conditioning,,,497-537,"In Learning and Computational Neuroscience. Cambridge, MA: MIT Press",10.1016/0262-8856(90)90062-a
"Sutton, RS; Barto, AG",1998,Reinforcement Learning,,,,"Cambridge, MA: MIT Press",10.1109/tnn.1998.712192
"Swindale, NV",1996,The development of topography in the visual cortex: A review of models,Network: Computation in Neural Systems,7,161-247,,10.1088/0954-898x/7/2/002
"Theunissen, FE; Miller, JP",1991,Representation of sensory information in the cricket cercal sensory system. II.,Journal of Neurophysiology,66,1690-1703,,10.1152/jn.1991.66.5.1680
"Tipping, ME; Bishop, CM",1999,Mixtures of probabilistic principal component analyzers,Neural Computation,11,443-482,,10.1162/089976699300016728
"Titterington, DM; Smith, AFM; Makov, UE",1985,Statistical Analysis of Finite Mixture Distributions,,,,New York: Wiley,10.1111/j.2517-6161.1985.tb01337.x
"Tootell, RB; Silverman, MS; Switkes, E; De Valois, RL",1982,Deoxyglucose analysis of retinotopic organization in primate striate cortex,Science,218,902-904,,10.1126/science.7134981
"Touretzky, DS; Redish, AD; Wan, HS",1993,Neural representation of space using sinusoidal arrays,Neural Computation,5,869-884,,10.1162/neco.1993.5.6.869
"Troyer, TW; Miller, KD",1997,Physiological gain leads to high ISI variability in a simple model of a cortical regular spiking cell,Neural Computation,9,971-983,,10.1162/neco.1997.9.5.971
"Tsai, KY; Carnevale, NT; Claiborne, BJ; Brown, TH",1994,Efficient mapping from neuroanatomical to electrotonic space,Network: Computation in Neural Systems,5,21-46,,10.1088/0954-898x/5/1/002
"Tsodyks, MV; Markram, H",1997,The neural code between neocortical pyramidal neurons depends on neurotransmitter release probability,Proceedings of the National Academy of Sciences USA,94,719-723,,10.1073/pnas.94.2.719
"Tuckwell, HC",1988,Introduction to Theoretical Neurobiology,,,,"Cambridge, UK: Cambridge University Press",10.1017/cbo9780511623202
"Turing, AM",1952,The chemical basis of morphogenesis,Philosophical Transactions of the Royal Society of London,B237,37-72,,10.1098/rstb.1952.0012
