Authors,Year,Title,Journal/Book,Volume,Pages,Notes,DOI
"Bienenstock, EL; Cooper, LN; Munro, PW",1982,Theory for the development of neuron selectivity: Orientation specificity and binocular interaction in visual cortex,Journal of Neuroscience,2,32-48,,10.1523/jneurosci.02-01-00032.1982
"Bishop, CM",1995,Neural Networks for Pattern Recognition,,,,Oxford: Oxford University Press,10.1093/oso/9780198538493.001.0001
"Blum, KI; Abbott, LF",1996,A model of spatial map formation in the hippocampus of the rat,Neural Computation,8,85-93,,10.1162/neco.1996.8.1.85
"Boas, ML",1966,Mathematical Methods in the Physical Sciences,,,,New York: Wiley,
"de Boer, E; Kuyper, P",1968,Triggered correlation,IEEE Biomedical Engineering,15,169-179,,10.1109/tbme.1968.4502561
"Bower, JM; Beeman, D",1998,The Book of GENESIS,,,,"Santa Clara, CA: Telos",10.1007/978-1-4612-1634-6
"Braitenberg, V; Schuz, A",1991,Anatomy of the Cortex,,,,Berlin: Springer-Verlag,10.1007/978-3-662-02728-8
"Bressloff, PC; Coombes, S",2000,Dynamics of strongly coupled spiking neurons,Neural Computation,12,91-129,,10.1162/089976600300015907
"Britten, KH; Shadlen, MN; Newsome, WT; Movshon, JA",1992,The analysis of visual motion: A comparison of neuronal and psychophysical performance,Journal of Neuroscience,12,4745-4765,,10.1523/jneurosci.12-12-04745.1992
"Brotchie, PR; Andersen, RA; Snyder, LH; Goodman, SJ",1995,Head position signals used by parietal neurons to encode locations of visual stimuli,Nature,375,232-235,,10.1038/375232a0
"Burt, PJ; Adelson, EH",1983,The Laplacian pyramid as a compact image code,IEEE Transactions on Communications,31,532-540,,10.1109/tcom.1983.1095851
"Bussgang, JJ",1952,Cross-correlation functions of amplitude-distorted Gaussian signals,MIT Research Laboratory for Electronic Technology Report,216,1-14,,
"Cajal, S Ramon y",1911,Histologie du Systeme Nerveux de l'Homme et des Vertebres,,,,Paris: Maloine,
"Campbell, FW; Gubisch, RW",1966,Optical quality of the human eye,Journal of Physiology,186,558-578,,10.1113/jphysiol.1966.sp008056
"Carandini, M; Heeger, DJ; Movshon, JA",1996,Linearity and gain control in V1 simple cells,,,,In Cerebral Cortex Vol. 10. New York: Plenum Press,10.1152/jn.1996.76.5.3425
"Carandini, M; Ringach, DL",1997,Predictions of a recurrent model of orientation selectivity,Vision Research,37,3061-3071,,10.1016/s0042-6989(97)00100-4
"Carpenter, GA; Grossberg, S",1991,Pattern Recognition by Self-Organizing Neural Network,,,,"Cambridge, MA: MIT Press",10.7551/mitpress/5271.003.0012
"Chance, FS",2000,Modeling Cortical Dynamics and the Responses of Neurons in the Primary Visual Cortex,,,,"Ph.D. dissertation, Brandeis University",10.1016/s0925-2312(00)00183-1
"Chance, FS; Nelson, SB; Abbott, LF",1998,Synaptic depression and the temporal response characteristics of V1 simple cells,Journal of Neuroscience,18,4785-4799,,10.1523/jneurosci.18-12-04785.1998
"Chance, FS; Nelson, SB; Abbott, LF",1999,Complex cells as cortically amplified simple cells,Nature Neuroscience,2,277-282,,10.1038/6381
"Chauvin, Y; Rumelhart, DE",1995,"Back Propagation: Theory, Architectures, and Applications",,,,"Hillsdale, NJ: Erlbaum",10.1016/0956-5663(95)96809-d
"Churchland, PS; Sejnowski, TJ",1992,The Computational Brain,,,,"Cambridge, MA: MIT Press",10.7551/mitpress/2010.001.0001
"Cohen, MA; Grossberg, S",1983,Absolute stability of global pattern formation and parallel memory storage by competitive neural networks,"IEEE Transactions on Systems, Man, and Cybernetics",13,815-826,,10.1109/tsmc.1983.6313075
"Compte, A; Brunel, N; Goldman-Rakic, PS; Wang, XJ",2000,Synaptic mechanisms and network dynamics underlying spatial working memory in a cortical network model,Cerebral Cortex,10,910-923,,10.1093/cercor/10.9.910
"Connor, JA; Stevens, CF",1971,Prediction of repetitive firing behaviour from voltage clamp data on an isolated neurone soma,Journal of Physiology,213,31-53,,10.1113/jphysiol.1971.sp009366
"Connor, JA; Walter, D; McKown, R",1977,Neural repetitive firing: modifications of the Hodgkin-Huxley axon suggested by experimental results from crustacean axons,Biophysical Journal,18,81-102,,10.1016/s0006-3495(77)85598-7
"Cover, TM",1965,Geometrical and statistical properties of systems of linear inequalities with application in pattern recognition,IEEE Transactions on Electronic Computers,EC14,326-334,,10.1109/pgec.1965.264137
"Cover, TM; Thomas, JA",1991,Elements of Information Theory,,,,New York: Wiley,10.1109/18.104312
"Cox, DR",1962,Renewal Theory,,,,London: Methuen; New York: Wiley,10.1016/b978-0-08-009014-6.50010-7
"Cox, DR; Hinckley, DV",1974,Theoretical Statistics,,,,London: Chapman & Hall,10.1007/978-1-4899-2887-0
"Cox, DR; Isham, V",1980,Point Processes,,,,New York: Chapman & Hall,10.2307/3213208
"Crair, MC; Gillespie, DC; Stryker, MP",1998,The role of visual experience in the development of columns in cat visual cortex,Science,279,566-570,,10.1126/science.279.5350.566
"Crowley, JC; Katz, LC",1999,Development of ocular dominance columns in the absence of retinal input,Nature Neuroscience,2,1125-1130,,10.1038/16051
"Dan, Y; Atick, JJ; Reid, RC",1996,Efficient coding of natural scenes in the lateral geniculate nucleus: Experimental test of a computational theory,Journal of Neuroscience,16,3351-3362,,10.1523/jneurosci.16-10-03351.1996
"Daubechies, I",1992,Ten Lectures on Wavelets,,,,Philadelphia: SIAM,10.1137/1.9781611970104
"Daubechies, I; Grossmann, A; Meyer, Y",1986,Painless nonorthogonal expansions,Journal of Mathematical Physics,27,1271-1283,,10.1063/1.527388
"Daugman, JG",1985,"Uncertainty relation for resolution in space, spatial frequency, and orientation optimization by two-dimensional visual cortical filters",Journal of the Optical Society of America,2,1160-1169,,10.1364/josaa.2.001160
"Dayan, P; Hinton, GE; Neal, RM; Zemel, RS",1995,The Helmholtz machine,Neural Computation,7,889-904,,10.1162/neco.1995.7.5.889
"DeAngelis, GC; Ohzawa, I; Freeman, RD",1995,Receptive field dynamics in the central visual pathways,Trends in Neuroscience,18,451-458,,10.1016/0166-2236(95)94496-r
